game,ranking_idol,event_type,year,month,duration,t1_cutoff,t2_cutoff,t3_cutoff,t4_cutoff,t5_cutoff,t6_cutoff
mltd,amami haruka,anniv,2018,6,14,1156358,136437,123212,,,
mltd,kisaragi chihaya,anniv,2018,6,14,1193282,167612,157201,,,
mltd,hoshi miki,anniv,2018,6,14,1363781,172457,164464,,,
mltd,hagiwara yukiho,anniv,2018,6,14,963271,116070,100014,,,
mltd,takatsuki yayoi,anniv,2018,6,14,919576,100530,86908,,,
mltd,kikuchi makoto,anniv,2018,6,14,686744,115615,105209,,,
mltd,minase iori,anniv,2018,6,14,1013981,115253,102902,,,
mltd,shijou takane,anniv,2018,6,14,990321,126005,116305,,,
mltd,akizuki ritsuko,anniv,2018,6,14,580164,76863,58414,,,
mltd,miura azusa,anniv,2018,6,14,619577,83957,70105,,,
mltd,futami ami,anniv,2018,6,14,309601,51761,33488,,,
mltd,futami mami,anniv,2018,6,14,410806,63487,46574,,,
mltd,ganaha hibiki,anniv,2018,6,14,999436,120281,110149,,,
mltd,kasuga mirai,anniv,2018,6,14,1000775,107896,93257,,,
mltd,mogami shizuka,anniv,2018,6,14,1111863,142110,129369,,,
mltd,ibuki tsubasa,anniv,2018,6,14,896723,116706,108905,,,
mltd,tanaka kotoha,anniv,2018,6,14,1593963,188394,177163,,,
mltd,shimabara elena,anniv,2018,6,14,689634,80029,64346,,,
mltd,satake minako,anniv,2018,6,14,944263,103049,86884,,,
mltd,tokoro megumi,anniv,2018,6,14,1333909,137990,126977,,,
mltd,tokugawa matsuri,anniv,2018,6,14,1044976,116592,107647,,,
mltd,hakozaki serika,anniv,2018,6,14,1510950,177691,166907,,,
mltd,nonohara akane,anniv,2018,6,14,744343,76799,59212,,,
mltd,mochizuki anna,anniv,2018,6,14,1634520,253607,239914,,,
mltd,handa roco,anniv,2018,6,14,957071,87834,71374,,,
mltd,nanao yuriko,anniv,2018,6,14,1767193,186695,176218,,,
mltd,takayama sayoko,anniv,2018,6,14,727323,90980,79447,,,
mltd,matsuda arisa,anniv,2018,6,14,695796,75715,57318,,,
mltd,kousaka umi,anniv,2018,6,14,923162,104132,94525,,,
mltd,nakatani iku,anniv,2018,6,14,540070,71578,51116,,,
mltd,tenkubashi tomoka,anniv,2018,6,14,1108480,98570,85450,,,
mltd,emily stewart,anniv,2018,6,14,792217,92830,80585,,,
mltd,kitazawa shiho,anniv,2018,6,14,1331150,164217,154901,,,
mltd,maihama ayumu,anniv,2018,6,14,361828,54376,34833,,,
mltd,kinoshita hinata,anniv,2018,6,14,491980,71577,50085,,,
mltd,yabuki kana,anniv,2018,6,14,811182,76192,52152,,,
mltd,yokoyama nao,anniv,2018,6,14,893717,117171,108225,,,
mltd,nikaido chizuru,anniv,2018,6,14,642496,80310,62002,,,
mltd,konomi baba,anniv,2018,6,14,1264027,140636,131761,,,
mltd,ogami tamaki,anniv,2018,6,14,593672,68409,48795,,,
mltd,toyokawa fuuka,anniv,2018,6,14,738221,89562,76879,,,
mltd,miyao miya,anniv,2018,6,14,1001134,106059,95839,,,
mltd,fukuda noriko,anniv,2018,6,14,401803,62162,39233,,,
mltd,makabe mizuki,anniv,2018,6,14,1368353,157261,153067,,,
mltd,shinomiya karen,anniv,2018,6,14,651958,83381,64601,,,
mltd,momose rio,anniv,2018,6,14,937514,94088,81908,,,
mltd,nagayoshi subaru,anniv,2018,6,14,693485,89005,75917,,,
mltd,kitakami reika,anniv,2018,6,14,812675,94186,84165,,,
mltd,suou momoko,anniv,2018,6,14,1476481,148366,140153,,,
mltd,julia,anniv,2018,6,14,978608,111298,100722,,,
mltd,shiraishi tsumugi,anniv,2018,6,14,1492111,169142,159549,,,
mltd,sakuramori kaori,anniv,2018,6,14,1045018,166888,158588,,,
mltd,amami haruka,anniv,2019,6,14,1377497,402295,365723,,,
mltd,kisaragi chihaya,anniv,2019,6,14,2492920,531828,483480,,,
mltd,hoshi miki,anniv,2019,6,14,2192241,563412,512193,,,
mltd,hagiwara yukiho,anniv,2019,6,14,1843446,342664,311513,,,
mltd,takatsuki yayoi,anniv,2019,6,14,1666666,305494,277722,,,
mltd,kikuchi makoto,anniv,2019,6,14,1509325,402267,365697,,,
mltd,minase iori,anniv,2019,6,14,1755814,402043,365494,,,
mltd,shijou takane,anniv,2019,6,14,1536518,428385,389441,,,
mltd,akizuki ritsuko,anniv,2019,6,14,1122643,205601,186910,,,
mltd,miura azusa,anniv,2019,6,14,1106932,230761,209783,,,
mltd,futami ami,anniv,2019,6,14,661924,114129,103754,,,
mltd,futami mami,anniv,2019,6,14,1000240,148352,134865,,,
mltd,ganaha hibiki,anniv,2019,6,14,1612700,408955,371777,,,
mltd,kasuga mirai,anniv,2019,6,14,1897085,339392,308538,,,
mltd,mogami shizuka,anniv,2019,6,14,2389908,506273,460248,,,
mltd,ibuki tsubasa,anniv,2019,6,14,2042509,394801,358910,,,
mltd,tanaka kotoha,anniv,2019,6,14,2509763,631238,573853,,,
mltd,shimabara elena,anniv,2019,6,14,1875559,310369,282154,,,
mltd,satake minako,anniv,2019,6,14,1560235,300334,273031,,,
mltd,tokoro megumi,anniv,2019,6,14,2141815,508108,461916,,,
mltd,tokugawa matsuri,anniv,2019,6,14,2000000,418919,380835,,,
mltd,hakozaki serika,anniv,2019,6,14,2186799,563487,512261,,,
mltd,nonohara akane,anniv,2019,6,14,1445157,230365,209423,,,
mltd,mochizuki anna,anniv,2019,6,14,2912554,596750,542500,,,
mltd,handa roco,anniv,2019,6,14,1819816,292675,266068,,,
mltd,nanao yuriko,anniv,2019,6,14,2736024,584257,531143,,,
mltd,takayama sayoko,anniv,2019,6,14,1769619,324984,295440,,,
mltd,matsuda arisa,anniv,2019,6,14,1653238,216966,197242,,,
mltd,kousaka umi,anniv,2019,6,14,2231844,394077,358252,,,
mltd,nakatani iku,anniv,2019,6,14,1671007,203840,185309,,,
mltd,tenkubashi tomoka,anniv,2019,6,14,1743019,314560,285964,,,
mltd,emily stewart,anniv,2019,6,14,1839162,306142,278311,,,
mltd,kitazawa shiho,anniv,2019,6,14,2287921,561376,510342,,,
mltd,maihama ayumu,anniv,2019,6,14,1020241,138047,125497,,,
mltd,kinoshita hinata,anniv,2019,6,14,1162015,199604,181458,,,
mltd,yabuki kana,anniv,2019,6,14,1557516,232268,211153,,,
mltd,yokoyama nao,anniv,2019,6,14,1786279,354463,322239,,,
mltd,nikaido chizuru,anniv,2019,6,14,1706241,255902,232638,,,
mltd,konomi baba,anniv,2019,6,14,2034599,512563,465966,,,
mltd,ogami tamaki,anniv,2019,6,14,1327513,166932,151756,,,
mltd,toyokawa fuuka,anniv,2019,6,14,1513681,300277,272979,,,
mltd,miyao miya,anniv,2019,6,14,1939608,398456,362233,,,
mltd,fukuda noriko,anniv,2019,6,14,1078477,162044,147313,,,
mltd,makabe mizuki,anniv,2019,6,14,2263965,551277,501161,,,
mltd,shinomiya karen,anniv,2019,6,14,1578773,284573,258703,,,
mltd,momose rio,anniv,2019,6,14,1884419,325327,295752,,,
mltd,nagayoshi subaru,anniv,2019,6,14,1715738,303795,276177,,,
mltd,kitakami reika,anniv,2019,6,14,1824557,376879,342617,,,
mltd,suou momoko,anniv,2019,6,14,2661578,596671,542428,,,
mltd,julia,anniv,2019,6,14,2013229,421955,383595,,,
mltd,shiraishi tsumugi,anniv,2019,6,14,2465809,620403,564003,,,
mltd,sakuramori kaori,anniv,2019,6,14,2193692,584187,531079,,,
mltd,kitazawa shiho,theater,2017,8,9,151347,67477,45991,,,
mltd,takatsuki yayoi,theater,2017,9,11,103398,54179,43411,,,
mltd,nanao yuriko,theater,2017,9,11,135591,56477,41397,,,
mltd,mogami shizuka,tour,2017,10,11,371237,137697,83660,,,
mltd,momose rio,theater,2017,11,9,88037,44374,36350,,,
mltd,ibuki tsubasa,tour,2017,11,9,207072,72108,51044,,,
mltd,futami mami,theater,2017,12,8,87912,41800,33099,,,
mltd,kasuga mirai,tour,2017,12,9,284240,79122,55386,,,
mltd,matsuda arisa,theater,2018,1,7,123222,54202,40630,,,
mltd,nikaido chizuru,tour,2018,1,7,161014,68412,52578,,,
mltd,minase iori,theater,2018,1,8,197135,69542,5152,,,
mltd,shimabara elena,tour,2018,2,9,303366,93871,59697,,,
mltd,hoshi miki,theater,2018,3,9,317690,96836,55568,,,
mltd,nakatani iku,tour,2018,3,8,149580,67752,52554,,,
mltd,tanaka kotoha,theater,2018,4,8,362962,103541,57721,,,
mltd,makabe mizuki,tour,2018,4,9,394587,114120,64842,,,
mltd,maihama ayumu,theater,2018,5,8,102704,55400,46603,,,
mltd,sakuramori kaori,tour,2018,5,9,394538,112870,67280,,,
mltd,emily stewart,theater,2018,6,8,166854,75049,51818,,,
mltd,takayama sayoko,tour,2018,6,8,206680,89168,57601,,,
mltd,nagayoshi subaru,tour,2018,7,9,193671,91396,60645,,,
mltd,yabuki kana,theater,2018,8,9,145371,72238,52361,,,
mltd,kousaka umi,tour,2018,8,9,276096,96842,59450,,,
mltd,tenkubashi tomoka,theater,2018,9,8,290383,108114,58793,,,
mltd,sakuramori kaori,tour,2018,9,8,343241,104320,59154,,,
mltd,hakozaki serika,theater,2018,10,9,249112,90199,55344,,,
mltd,tanaka kotoha,tour,2018,10,9,814482,188906,77432,,,
mltd,ogami tamaki,theater,2018,11,8,139831,65452,51018,,,
mltd,julia,tour,2018,11,8,348456,106442,59420,,,
mltd,ganaha hibiki,theater,2018,12,9,198303,76067,52463,,,
mltd,shinomiya karen,tour,2018,12,8,202090,92868,71596,,,
mltd,tokoro megumi,theater,2019,1,8,286453,109531,71607,,,
mltd,tokugawa matsuri,tour,2019,1,8,339632,110872,60255,,,
mltd,mochizuki anna,theater,2019,2,9,515959,144266,61623,,,
mltd,handa roco,tour,2019,2,8,261305,82652,54611,,,
mltd,fukuda noriko,theater,2019,3,7,138509,63137,50561,,,
mltd,kinoshita hinata,tour,2019,4,7,152860,67806,51646,,,
mltd,shiraishi tsumugi,theater,2019,4,9,284359,99038,56715,,,
mltd,kasuga mirai,tour,2019,4,8,179678,67929,50890,,,
mltd,nagayoshi subaru,theater,2019,5,9,204887,75940,52066,,,
mltd,amami haruka,tour,2019,5,9,375723,112226,60080,,,
mltd,nonohara akane,theater,2019,6,8,149545,64197,50413,,,
mltd,toyokawa fuuka,tour,2019,6,8,225264,79118,53628,,,
mltd,nanao yuriko,tour,2019,6,7,356574,90492,53600,,,
