game,ranking_idol,event_type,year,month,duration_days,t1_cutoff,t2_cutoff,t3_cutoff,t4_cutoff,t5_cutoff,t6_cutoff
SIF,minami_kotori,token,2013,5,14,24781,15000,10000,,,
SIF,sonoda_umi,token,2013,5,14,30655,15000,10000,,,
SIF,yazawa_nico,token,2013,6,13,47472,31330,10000,,,
SIF,minami_kotori,token,2013,6,9,26333,16246,10000,,,
SIF,sonoda_umi,token,2013,7,7,26846,16800,10000,,,
SIF,kousaka_honoka,token,2013,7,12,44573,30159,10000,,,
SIF,ayase_eli,token,2013,8,10,40511,26169,10000,,,
SIF,koizumi_hanayo,token,2013,8,11,41281,27461,10000,,,
SIF,toujou_nozomi,token,2013,9,10,37162,25183,10000,,,
SIF,hoshizora_rin,token,2013,9,10,35602,23272,10000,,,
SIF,nishikino_maki,score_match,2013,10,10,104644,68940,10000,,,
SIF,ayase_eli,token,2013,10,11,42601,30910,10000,,,
SIF,minami_kotori,score_match,2013,11,10,113679,67246,10000,,,
SIF,kousaka_honoka,token,2013,11,10,36202,22696,10000,,,
SIF,koizumi_hanayo,score_match,2013,12,10,102078,64378,10000,,,
SIF,sonoda_umi,token,2013,12,11,45707,30949,10000,,,
SIF,yazawa_nico,score_match,2014,1,10,107973,72554,10000,,,
SIF,toujou_nozomi,token,2014,1,10,43459,30731,10000,,,
SIF,hoshizora_rin,score_match,2014,2,10,108188,75509,10000,,,
SIF,nishikino_maki,token,2014,2,8,40475,28302,10000,,,
SIF,yazawa_nico,score_match,2014,3,10,108790,80310,10000,,,
SIF,minami_kotori,token,2014,3,11,52407,36697,10000,,,
SIF,nishikino_maki,score_match,2014,4,10,88955,59540,10000,,,
SIF,koizumi_hanayo,token,2014,4,10,37970,23551,10000,,,
SIF,sonoda_umi,score_match,2014,5,10,101520,65091,10000,,,
SIF,kousaka_honoka,token,2014,5,11,41462,26406,10000,,,
SIF,hoshizora_rin,score_match,2014,6,10,92486,60349,10000,,,
SIF,ayase_eli,token,2014,6,10,39803,27169,10000,,,
SIF,toujou_nozomi,score_match,2014,7,10,90164,56228,10000,,,
SIF,minami_kotori,token,2014,7,11,47005,31917,10000,,,
SIF,yazawa_nico,score_match,2014,8,10,99886,63888,10000,,,
SIF,nishikino_maki,token,2014,8,11,44784,31290,10000,,,
SIF,kousaka_honoka,score_match,2014,9,10,87722,59777,10000,,,
SIF,sonoda_umi,token,2014,9,10,36938,22934,10000,,,
SIF,koizumi_hanayo,score_match,2014,10,10,88881,61588,10000,,,
SIF,hoshizora_rin,token,2014,10,11,41222,26765,10000,,,
SIF,ayase_eli,score_match,2014,11,10,89777,63548,10000,,,
SIF,toujou_nozomi,token,2014,11,10,37029,24246,10000,,,
SIF,nishikino_maki,medley_festival,2014,12,10,119431,84151,10000,,,
SIF,yazawa_nico,token,2014,12,11,43594,29754,10000,,,
SIF,minami_kotori,score_match,2015,1,10,99467,70326,10000,,,
SIF,koizumi_hanayo,medley_festival,2015,1,11,110989,77703,10000,,,
SIF,kousaka_honoka,token,2015,2,10,36205,21794,10000,,,
SIF,toujou_nozomi,score_match,2015,2,8,89461,61694,10000,,,
SIF,ayase_eli,medley_festival,2015,3,10,111729,83020,10000,,,
SIF,hoshizora_rin,token,2015,3,11,36846,21661,10000,,,
SIF,sonoda_umi,score_match,2015,4,10,90999,58529,10000,,,
SIF,minami_kotori,medley_festival,2015,4,10,112068,77831,10000,,,
SIF,nishikino_maki,token,2015,5,10,40025,26054,10000,,,
SIF,koizumi_hanayo,score_match,2015,5,11,89216,61756,10000,,,
SIF,yazawa_nico,medley_festival,2015,6,10,115237,79084,10000,,,
SIF,kousaka_honoka,token,2015,6,10,33568,21000,10000,,,
SIF,kurosawa_ruby,token,2016,10,10,87225,42645,20791,,,
SIF,toujou_nozomi,challenge_festival,2016,10,11,168695,93407,51753,,,
SIF,takami_chika,score_match,2016,11,10,136992,74771,41239,,,
SIF,nishikino_maki,token,2016,11,10,91755,40721,19304,,,
SIF,kurosawa_dia,medley_festival,2016,12,10,113403,61232,32603,,,
SIF,kousaka_honoka,challenge_festival,2016,12,11,159145,77990,42067,,,
SIF,tsushima_yoshiko,score_match,2017,1,10,130171,66628,36268,,,
SIF,ayase_eli,challenge_festival,2017,1,11,162515,82991,45811,,,
SIF,matsuura_kanan,medley_festival,2017,2,10,110329,60305,30676,,,
SIF,hoshizora_rin,token,2017,2,8,66666,24419,12100,,,
SIF,sakurauchi_riko,score_match,2017,3,10,120914,63685,34901,,,
SIF,koizumi_hanayo,challenge_festival,2017,3,11,144821,73817,40253,,,
SIF,ohara_mari,touring_rally,2017,4,10,145342,62148,120000,,,
SIF,hoshizora_rin,challenge_festival,2017,4,10,125478,63530,33012,,,
SIF,kunikida_hanamaru,score_match,2017,5,10,109866,58828,29315,,,
SIF,sonoda_umi,token,2017,5,11,87593,33426,16263,,,
SIF,watanabe_you,medley_festival,2017,6,10,103659,49924,26153,,,
SIF,yazawa_nico,score_match,2017,6,10,111956,60273,30097,,,
SIF,matsuura_kanan,token,2017,7,10,67782,25545,11565,,,
SIF,minami_kotori,friendly_match,2017,7,11,132548,67880,36854,,,
SIF,watanabe_you,score_match,2017,8,10,102050,51020,25162,,,
SIF,ayase_eli,challenge_festival,2017,8,11,126258,64591,30625,,,
SIF,tsushima_yoshiko,touring_rally,2017,9,10,182776,71091,33977,,,
SIF,kousaka_honoka,medley_festival,2017,9,10,84350,45709,23814,,,
SIF,takami_chika,token,2017,10,10,66236,25372,11693,,,
SIF,yazawa_nico,challenge_festival,2017,10,11,119045,62949,28910,,,
SIF,kurosawa_ruby,token,2017,11,10,70288,26555,12434,,,
SIF,toujou_nozomi,friendly_match,2017,11,10,108731,56346,25205,,,
SIF,yazawa_nico,score_match,2017,12,10,90758,48083,22442,,,
SIF,kunikida_hanamaru,touring_rally,2017,12,11,219047,101543,41629,,,
SIF,hoshizora_rin,friendly_match,2018,1,10,100102,50193,17557,,,
SIF,kurosawa_ruby,token,2018,1,11,71002,26822,11193,,,
SIF,koizumi_hanayo,challenge_festival,2018,2,10,103575,51545,19463,,,
SIF,ohara_mari,friendly_match,2018,2,8,95179,42807,14035,,,
SIF,nishikino_maki,score_match,2018,3,10,91360,46900,16911,,,
SIF,kurosawa_dia,touring_rally,2018,3,11,201562,83789,34263,,,
SIF,sonoda_umi,friendly_match,2018,4,10,100867,52133,18566,,,
SIF,tsushima_yoshiko,token,2018,4,10,71286,30048,13550,,,
SIF,nishikino_maki,challenge_festival,2018,5,10,98369,50425,17838,,,
SIF,takami_chika,friendly_match,2018,5,11,181448,75470,29233,,,
SIF,kousaka_honoka,challenge_festival,2018,6,10,161521,61698,21713,,,
SIF,matsuura_kanan,touring_rally,2018,6,10,184988,79875,29972,,,
SIF,ayase_eli,friendly_match,2018,7,10,162440,63870,25295,,,
SIF,kunikida_hanamaru,token,2018,7,11,61474,29810,26511,,,
SIF,minami_kotori,challenge_festival,2018,8,10,168978,80172,66349,,,
SIF,watanabe_you,friendly_match,2018,8,11,162772,75416,64908,,,
SIF,nishikino_maki,score_match,2018,9,10,144238,66560,61018,,,
SIF,kurosawa_ruby,token,2018,9,10,50430,26636,21468,,,
mltd,amami haruka,anniv,2018,6,14,1156358,136437,123212,,,
mltd,kisaragi chihaya,anniv,2018,6,14,1193282,167612,157201,,,
mltd,hoshi miki,anniv,2018,6,14,1363781,172457,164464,,,
mltd,hagiwara yukiho,anniv,2018,6,14,963271,116070,100014,,,
mltd,takatsuki yayoi,anniv,2018,6,14,919576,100530,86908,,,
mltd,kikuchi makoto,anniv,2018,6,14,686744,115615,105209,,,
mltd,minase iori,anniv,2018,6,14,1013981,115253,102902,,,
mltd,shijou takane,anniv,2018,6,14,990321,126005,116305,,,
mltd,akizuki ritsuko,anniv,2018,6,14,580164,76863,58414,,,
mltd,miura azusa,anniv,2018,6,14,619577,83957,70105,,,
mltd,futami ami,anniv,2018,6,14,309601,51761,33488,,,
mltd,futami mami,anniv,2018,6,14,410806,63487,46574,,,
mltd,ganaha hibiki,anniv,2018,6,14,999436,120281,110149,,,
mltd,kasuga mirai,anniv,2018,6,14,1000775,107896,93257,,,
mltd,mogami shizuka,anniv,2018,6,14,1111863,142110,129369,,,
mltd,ibuki tsubasa,anniv,2018,6,14,896723,116706,108905,,,
mltd,tanaka kotoha,anniv,2018,6,14,1593963,188394,177163,,,
mltd,shimabara elena,anniv,2018,6,14,689634,80029,64346,,,
mltd,satake minako,anniv,2018,6,14,944263,103049,86884,,,
mltd,tokoro megumi,anniv,2018,6,14,1333909,137990,126977,,,
mltd,tokugawa matsuri,anniv,2018,6,14,1044976,116592,107647,,,
mltd,hakozaki serika,anniv,2018,6,14,1510950,177691,166907,,,
mltd,nonohara akane,anniv,2018,6,14,744343,76799,59212,,,
mltd,mochizuki anna,anniv,2018,6,14,1634520,253607,239914,,,
mltd,handa roco,anniv,2018,6,14,957071,87834,71374,,,
mltd,nanao yuriko,anniv,2018,6,14,1767193,186695,176218,,,
mltd,takayama sayoko,anniv,2018,6,14,727323,90980,79447,,,
mltd,matsuda arisa,anniv,2018,6,14,695796,75715,57318,,,
mltd,kousaka umi,anniv,2018,6,14,923162,104132,94525,,,
mltd,nakatani iku,anniv,2018,6,14,540070,71578,51116,,,
mltd,tenkubashi tomoka,anniv,2018,6,14,1108480,98570,85450,,,
mltd,emily stewart,anniv,2018,6,14,792217,92830,80585,,,
mltd,kitazawa shiho,anniv,2018,6,14,1331150,164217,154901,,,
mltd,maihama ayumu,anniv,2018,6,14,361828,54376,34833,,,
mltd,kinoshita hinata,anniv,2018,6,14,491980,71577,50085,,,
mltd,yabuki kana,anniv,2018,6,14,811182,76192,52152,,,
mltd,yokoyama nao,anniv,2018,6,14,893717,117171,108225,,,
mltd,nikaido chizuru,anniv,2018,6,14,642496,80310,62002,,,
mltd,konomi baba,anniv,2018,6,14,1264027,140636,131761,,,
mltd,ogami tamaki,anniv,2018,6,14,593672,68409,48795,,,
mltd,toyokawa fuuka,anniv,2018,6,14,738221,89562,76879,,,
mltd,miyao miya,anniv,2018,6,14,1001134,106059,95839,,,
mltd,fukuda noriko,anniv,2018,6,14,401803,62162,39233,,,
mltd,makabe mizuki,anniv,2018,6,14,1368353,157261,153067,,,
mltd,shinomiya karen,anniv,2018,6,14,651958,83381,64601,,,
mltd,momose rio,anniv,2018,6,14,937514,94088,81908,,,
mltd,nagayoshi subaru,anniv,2018,6,14,693485,89005,75917,,,
mltd,kitakami reika,anniv,2018,6,14,812675,94186,84165,,,
mltd,suou momoko,anniv,2018,6,14,1476481,148366,140153,,,
mltd,julia,anniv,2018,6,14,978608,111298,100722,,,
mltd,shiraishi tsumugi,anniv,2018,6,14,1492111,169142,159549,,,
mltd,sakuramori kaori,anniv,2018,6,14,1045018,166888,158588,,,
mltd,kitazawa shiho,theater,2017,8,9,151347,67477,45991,36947,28172,10044
mltd,takatsuki yayoi,theater,2017,9,11,103398,54179,43411,36993,25865,4031
mltd,nanao yuriko,theater,2017,9,11,135591,56477,41397,36207,23472,2942
mltd,mogami shizuka,tour,2017,10,11,371237,137697,83660,65680,51883,8304
mltd,momose rio,theater,2017,11,9,88037,44374,36350,26413,18029,1451
mltd,ibuki tsubasa,tour,2017,11,9,207072,72108,51044,40866,30620,1364
mltd,futami mami,theater,2017,12,8,87912,41800,33099,22928,14889,613
mltd,kasuga mirai,tour,2017,12,9,284240,79122,55386,43884,32622,1460
mltd,matsuda arisa,theater,2018,1,7,123222,54202,40630,32449,20195,1213
mltd,nikaido chizuru,tour,2018,1,7,161014,68412,52578,41312,28060,1556
mltd,minase iori,theater,2018,1,8,197135,69542,5152,37159,23018,786
mltd,shimabara elena,tour,2018,2,9,303366,93871,59697,50028,36252,1440
mltd,hoshi miki,theater,2018,3,9,317690,96836,55568,42724,30196,1976
mltd,nakatani iku,tour,2018,3,8,149580,67752,52554,41714,30018,1072
mltd,tanaka kotoha,theater,2018,4,8,362962,103541,57721,44193,31049,1697
mltd,makabe mizuki,tour,2018,4,9,394587,114120,64842,51326,40160,2150
mltd,maihama ayumu,theater,2018,5,8,102704,55400,46603,36562,21042,622
mltd,sakuramori kaori,tour,2018,5,9,394538,112870,67280,53591,44212,3730
mltd,emily stewart,theater,2018,6,8,166854,75049,51818,35256,30255,3954
mltd,takayama sayoko,tour,2018,6,8,206680,89168,57601,42226,32787,5920
mltd,nagayoshi subaru,tour,2018,7,9,193671,91396,60645,46238,35456,16906
mltd,yabuki kana,theater,2018,8,9,145371,72238,52361,38190,30893,8945
mltd,kousaka umi,tour,2018,8,9,276096,96842,59450,44847,34316,10743
mltd,tenkubashi tomoka,theater,2018,9,8,290383,108114,58793,40989,31077,6456
mltd,sakuramori kaori,tour,2018,9,8,343241,104320,59154,407575,31940,10100
mltd,hakozaki serika,theater,2018,10,9,249112,90199,55344,40007,31596,8457
mltd,tanaka kotoha,tour,2018,10,9,814482,188906,77432,50882,37380,15884
mltd,ogami tamaki,theater,2018,11,8,139831,65452,51018,34046,30310,4171
mltd,julia,tour,2018,11,8,348456,106442,59420,41588,32194,7874
mltd,ganaha hibiki,theater,2018,12,9,198303,76067,52463,37435,30873,3817
mltd,shinomiya karen,tour,2018,12,8,202090,92868,71596,44174,32682,10512
mltd,tokoro megumi,theater,2019,1,8,286453,109531,71607,40635,31769,10913
mltd,tokugawa matsuri,tour,2019,1,8,339632,110872,60255,41920,32382,11054
mltd,mochizuki anna,theater,2019,2,9,515959,144266,61623,41196,32010,8447
mltd,handa roco,tour,2019,2,8,261305,82652,54611,39256,31476,5440
mltd,fukuda noriko,theater,2019,3,7,138509,63137,50561,32753,30301,2658
mltd,kinoshita hinata,tour,2019,4,7,152860,67806,51646,34586,30492,2386
mltd,shiraishi tsumugi,theater,2019,4,9,284359,99038,56715,40626,32051,9591
SIF,ayase_eli,score_match,2015,7,10,98152,71599,10000,,,
SIF,sonoda_umi,medley_festival,2015,7,11,113480,69797,10000,,,
SIF,toujou_nozomi,token,2015,8,10,44544,26573,10000,,,
SIF,hoshizora_rin,score_match,2015,8,11,108830,70118,10000,,,
SIF,minami_kotori,medley_festival,2015,9,10,128719,82143,10000,,,
SIF,koizumi_hanayo,token,2015,9,10,37717,21609,10000,,,
SIF,nishikino_maki,score_match,2015,10,10,107771,69865,10000,,,
SIF,ayase_eli,medley_festival,2015,10,11,134103,87943,10000,,,
SIF,yazawa_nico,token,2015,11,10,40369,22453,10000,,,
SIF,sonoda_umi,score_match,2015,11,10,100036,60715,10000,,,
SIF,kousaka_honoka,medley_festival,2015,12,10,117162,65615,10000,,,
SIF,hoshizora_rin,token,2015,12,11,41770,22594,10000,,,
SIF,toujou_nozomi,score_match,2016,1,10,90727,53329,10000,,,
SIF,minami_kotori,medley_festival,2016,1,11,125553,73305,10000,,,
SIF,ayase_eli,token,2016,2,10,36043,20916,10000,,,
SIF,sonoda_umi,score_match,2016,2,9,88526,52524,10000,,,
SIF,nishikino_maki,challenge_festival,2016,3,10,164209,104302,10000,,,
SIF,yazawa_nico,medley_festival,2016,3,11,110007,62494,10000,,,
SIF,koizumi_hanayo,token,2016,4,10,33850,18163,10000,,,
SIF,hoshizora_rin,challenge_festival,2016,4,10,145956,83170,10000,,,
SIF,toujou_nozomi,score_match,2016,5,10,91714,53498,10000,,,
SIF,kousaka_honoka,medley_festival,2016,5,11,105099,60124,10000,,,
SIF,sakurauchi_riko,token,2016,6,10,59092,34809,17918,,,
SIF,koizumi_hanayo,challenge_festival,2016,6,10,151250,101080,49631,,,
SIF,kurosawa_dia,score_match,2016,7,10,157244,100333,48537,,,
SIF,minami_kotori,medley_festival,2016,7,11,145904,92701,52112,,,
SIF,watanabe_you,token,2016,8,10,64748,40176,21524,,,
SIF,sonoda_umi,challenge_festival,2016,8,11,176484,108501,60566,,,
SIF,ohara_mari,score_match,2016,9,10,135443,75160,40478,,,
SIF,yazawa_nico,medley_festival,2016,9,10,130787,70916,39079,,,
SIF,hoshizora_rin,touring_rally,2018,10,10,172401,89162,72084,,,
SIF,ohara_mari,score_match,2018,10,11,134541,63213,55711,,,
SIF,toujou_nozomi,friendly_match,2018,11,10,161160,75043,63933,,,
SIF,sakurauchi_riko,touring_rally,2018,11,10,164087,81420,65142,,,
SIF,sonoda_umi,challenge_festival,2018,12,10,153700,67000,56527,,,
SIF,watanabe_you,token,2018,12,11,108569,53248,39189,,,
SIF,minami_kotori,score_match,2019,1,10,123692,62652,55400,,,
SIF,kurosawa_dia,touring_rally,2019,1,11,169034,89131,73763,,,
SIF,ayase_eli,friendly_match,2019,2,10,158475,72508,63100,,,
SIF,tsushima_yoshiko,medley_festival,2019,2,8,116873,51519,43610,,,
SIF,hoshizora_rin,challenge_festival,2019,3,10,143504,64342,55383,,,
SIF,takami_chika,friendly_match,2019,3,11,137067,67122,58348,,,
